country,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
namibia,4.767269816,3.553769064,0.813148928,1.858675097,2.047459954,8.165612258,7.189342732,-1.579539256,1.729879433,3.8990143,3.191324246,4.220100319,3.291585478,3.369278559,3.49218333,1.177948872,4.788661155,4.239794359,12.26954808,2.529262501,7.073175382,6.615994674,2.647369812,0.29615132,6.040337386,5.119978692,5.153926774,5.124750827
nigeria,-8.75417698,-10.75170014,7.542522026,6.467191144,12.76600917,-0.617850588,0.433725357,2.090377801,0.909763335,-0.307468969,4.993705537,2.802256439,2.715640179,0.474237575,5.318093381,4.411065196,3.784648183,10.35418456,33.73577503,3.444666813,8.210964859,6.828398348,6.270263697,6.934416004,7.839739477,4.887386611,4.279277314,5.394416311
cameroon,6.77166308,-2.146650212,-7.823631975,-1.819120513,-6.105697646,-3.808599372,-3.100003211,-7.932066575,2.063402475,4.128370945,4.911939543,5.314158464,4.895359526,4.062278838,4.173581032,4.514271087,4.009044571,4.030993316,3.701854054,2.296852856,3.224002985,3.255664493,2.884046234,1.931850591,3.268648874,4.140591847,4.588738701,5.561688129
benin,2.171141602,-1.500002949,3.40524529,-2.854160493,8.976134361,4.225799419,2.957710824,5.836172091,2.020400445,6.045198645,4.324284035,5.734688374,3.961012139,5.341449373,4.861667564,6.248410547,4.421114343,3.882508345,3.119857104,2.865236818,3.752154478,4.626396471,5.014638407,2.663222588,2.611487073,3.26371861,5.395889626,5.640149161
togo,1.586504304,0.510162182,6.642369769,4.060021692,-0.243656143,-0.699967491,-3.980686814,-15.09582748,14.98241434,7.84583232,8.83621163,14.37737757,-2.299876558,2.481751423,-0.783479607,-1.626806272,-0.922151018,4.954397657,2.119065323,1.180406953,4.052412549,2.290453889,2.225480228,3.510296675,3.99567877,4.883763946,5.91249112,5.117622456
mauritania,5.713579281,1.900384194,1.720397973,4.777585425,-1.771304552,1.788087165,1.87412585,5.873637269,-3.060732097,9.819800448,5.818826607,-4.044696627,2.77780492,6.670370531,1.85032875,2.892354824,1.096991488,5.594191198,5.178605116,5.444862187,11.4446581,1.02298478,3.51700383,-1.220190897,4.332133139,3.986374899,6.970908449,6.715005029
burkina faso,7.955362728,-0.236336794,5.795592965,2.150267276,-0.60292848,9.069984461,0.232710763,3.461384935,1.315007272,5.716373867,11.01474387,6.316834735,7.307719633,7.404178966,1.820241892,6.613399558,4.353004323,7.802439895,4.478474349,8.661861605,6.253158606,4.111381646,5.800005065,2.866699541,8.446221244,6.626915077,8.995216194,6.647165888
lesotho,5.503874508,0.001434714,8.556676965,5.47663699,5.644185268,3.904703464,7.255418076,3.330596412,5.345593245,1.997569724,5.213676363,4.085488249,1.743989365,0.402031682,5.140339514,4.22920334,0.532376117,4.691154436,2.291777907,2.704500225,4.307444107,4.733465098,5.733473897,3.357932789,7.09126399,2.836935329,6.511439037,5.489400292
mauritius,9.742033384,8.891039823,6.79134671,4.465148645,7.186736733,4.435446247,6.512698638,5.082062928,4.136142904,4.28773662,5.587843879,5.687477457,6.070628106,2.610779536,9.026614062,2.573570313,2.113313277,3.656856417,5.745767493,1.241387547,3.947653044,5.9,5.500000009,2.999999977,4.100000009,3.899999989,3.200000016,3.200000008
congo,-6.861526437,0.189376641,1.766263429,2.599876517,1.000003567,2.395367454,2.611948052,-0.979683206,-5.493075745,3.985324378,4.290481556,-0.62481215,3.73755277,-2.582199357,7.575980392,3.8026019,4.581870061,0.813264075,3.476631623,7.755758978,6.235997013,-1.58222275,5.572264173,7.468878032,8.751655799,3.42062127,3.799995854,3.440705249
south africa,0.017786891,2.100777788,4.200042664,2.394859813,-0.317783203,-1.018308015,-2.137041716,1.233613401,3.2,3.1,4.3,2.6,0.5,2.4,4.2,2.7,3.700374403,2.949075467,4.554559907,5.277051974,5.58504596,5.360474055,3.191043885,-1.538089134,3.039747085,3.212451757,2.219824004,2.212354433
sudan,5.413811012,14.2208846,-0.331091818,8.931393687,-5.470053776,7.510910626,6.577861385,4.56874919,1.006228243,5.99709232,5.919124758,10.56673631,4.308504104,3.10409568,6.345867769,6.500360421,6.427273901,7.734591717,3.883307291,7.489738142,10.064308,11.51573374,3.00431336,3.23214052,3.477218723,-3.294329808,-10.1,-6.004000189
dem. rep. congo,4.717209653,2.675642452,0.470381336,-1.266050636,-6.568310694,-8.421051499,-10.50000856,-13.46905054,-3.899996803,0.69999883,-1.023172642,-5.617046599,-1.624154045,-4.270140831,-6.910927317,-2.100173025,2.947765184,5.577822311,6.738373933,6.135151155,5.321014838,6.258047314,6.227795416,2.855285914,7.107234593,6.874000001,7.087571172,8.481956636
central african rep.,3.577966826,-4.939033173,1.710272957,1.977314589,-2.147642437,-0.552426922,-6.424094388,0.335145801,4.899999089,7.200002317,-4.000001351,5.300002639,4.699993861,3.600002936,-2.489450099,4.464782641,3.616488017,-5.397469235,5.994991722,0.908086102,7.600338264,8.122803427,3.892082265,8.907131878,6.635415455,3.299960767,4.099973792,-35.99996656
angola,2.8,7.9,5.6,0.4,-0.3,-1.2,-6.9,-24.7,3.500000006,10.4,11.19999997,7.900000022,6.804762105,3.239799677,3.012076166,4.220965156,13.82179251,5.247569624,10.87946506,18.26147368,20.73512488,22.5930543,13.81714581,2.412869693,3.407654794,3.918596986,5.155440545,6.800058482
zimbabwe,2.099029129,1.150737205,7.552374508,5.199766444,6.988552933,5.531782072,-9.015569821,1.051458509,9.235198742,0.158025752,10.36069674,2.680594174,2.885211917,-0.817820899,-3.059189626,1.439615074,-8.894023417,-16.99507453,-5.807538303,-5.711083833,-3.46149505,-3.653327043,-17.6689466,5.984390754,11.37592123,11.90540789,10.56520427,4.484095146
zambia,0.723893835,2.67566173,6.280748999,-1.023501754,-0.481072127,-0.036133391,-1.730922033,6.797273924,-8.625441835,2.897668709,6.218546514,3.814007573,-0.385746225,4.650189789,3.89732287,5.316868319,4.506014409,6.944973873,7.032395131,7.23559899,7.903694512,8.352436224,7.773895812,9.220348444,10.29820581,6.338446147,6.730573989,6.713450204
burundi,3.250180461,5.503096116,5.031024363,1.349502233,3.499822139,4.996836457,1.009998365,-6.24,-3.83,-7.92,-8.0,-1.59,4.75,-1.01,-0.856864057,2.055807106,4.446519421,-1.223727958,4.833657761,0.9,5.384657398,4.785831951,5.048118783,3.468425425,3.785902543,4.191625681,4.01936553,4.594054218
chad,-4.081667517,-2.388808497,15.48235907,4.884735103,-4.178472373,8.535137166,8.001443346,-15.70983705,10.13688763,1.236549317,2.214473035,5.653392328,6.951579914,-0.682850217,-0.879681025,11.65813465,8.491209819,14.72166701,33.62937185,17.33253374,0.648262014,3.271499579,3.052691532,4.217695552,13.55010086,0.082869798,8.882576072,3.965513079
burundi,3.250180461,5.503096116,5.031024363,1.349502233,3.499822139,4.996836457,1.009998365,-6.24,-3.83,-7.92,-8.0,-1.59,4.75,-1.01,-0.856864057,2.055807106,4.446519421,-1.223727958,4.833657761,0.9,5.384657398,4.785831951,5.048118783,3.468425425,3.785902543,4.191625681,4.01936553,4.594054218
malawi,-0.214802542,1.625239217,3.177291256,1.344689718,5.692294493,8.73023182,-7.332978127,9.691840272,-10.24018174,16.72881759,7.316681499,3.79241912,3.89525362,3.042278095,1.576077841,-4.974963843,1.7,5.5,4.851637681,2.839778225,2.062005106,9.491418408,8.33891151,9.03583527,6.533362436,4.347495189,1.885799508,4.969479816
gabon,-0.80359774,-17.14604221,12.84535324,8.545309994,5.192237276,6.112503481,-3.09014565,3.946555009,3.712754839,4.973847763,3.625049023,5.738367394,3.477833588,-8.932622804,-1.882966396,2.131679953,-0.267154255,2.475192183,1.3460156,3.021595857,1.18118769,5.553353887,0.999807338,-2.9,6.7,7.1,5.6,5.887
tanzania,NA,NA,NA,3.764443408,7.045071643,2.071988211,0.584322134,1.205800808,1.567661766,3.569911869,4.544366802,3.525278191,3.708511596,4.840382325,4.933846627,5.997828857,7.163553537,6.886226532,7.828298381,7.369871265,6.737388165,7.148095587,5.588345162,5.395174414,6.354268068,7.918823381,5.147252362,7.281728924
s. sudan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.042134575,5.492917937,-4.638970483,-46.08249858,13.13063491
ethiopia,9.661612359,13.8593304,0.503674879,-0.36104418,2.726451783,-7.137479708,-8.672480128,13.14283396,3.18996457,6.127511412,12.42617378,3.133906867,-3.458139148,5.162145824,6.073217492,8.301306322,1.514725693,-2.161359721,13.57260315,11.81876594,10.83472707,11.456167,10.78852168,8.802553202,12.55053834,11.17829624,8.647811053,10.49043607
ghana,5.199160679,4.794898878,5.628168765,5.0858727,3.328817883,5.28182629,3.879419253,4.850000564,3.299999591,4.11241904,4.602461045,4.196357576,4.700390779,4.39999686,3.700000115,4.0,4.499999699,5.199999984,5.59999999,5.900003953,6.399912419,6.459591207,8.430637957,3.991570633,8.008593391,15.00888576,8.785038523,7.585001485
djibouti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eritrea,NA,NA,NA,NA,NA,NA,NA,13.4547618,21.221411,2.85837881,9.258839895,7.908684452,1.772582592,0.013480723,-3.141986746,8.755436313,3.005428651,-2.655515364,1.451734363,2.574449601,-0.969216373,1.42682175,-9.783029746,3.87650192,2.194189769,8.679800386,7.017108852,1.332252085
niger,6.360026805,0.074556245,6.899121716,0.933929138,-1.284355381,2.504203274,-6.516444601,1.449437876,4.004561704,2.605755854,3.419093099,2.753965624,10.42226252,-0.568758332,-1.40950935,7.104340612,2.999122036,5.299999998,0.100000001,4.499999999,5.800000002,3.146570396,9.587673209,-0.712671174,8.369239798,2.31140022,11.04122537,4.104952891
mali,8.435310068,-0.518235329,1.481486165,11.76370596,-1.852675992,1.616062862,8.333260144,-2.139403429,0.912162051,6.209004782,3.218406373,6.761093862,6.033114132,6.734813031,3.2,12.1,4.15331894,7.441394997,2.18552024,6.079794351,8.578286908,4.298178176,4.978529163,4.457421986,5.819314829,2.730111011,-0.408303574,2.149319398
sierra leone,1.236046911,7.23126873,-7.08,0.73,3.349997983,2.351960645,-19.01290963,1.374549378,-1.947384336,-7.999753284,1.7538214,-5.877082016,1.78501428,-1.979285587,6.652727885,-7.140319716,26.26857661,9.382384967,6.417536687,4.332484395,5.655529031,8.04255943,5.324673271,3.148168749,5.347000278,5.769793795,5.34033768,5.518898748
cote d'ivoire,3.259348768,-0.34897291,1.136483964,2.948004944,-1.095908411,0.040925169,-0.244560612,-0.192485101,0.811206686,7.125744724,7.729327422,5.719058597,4.752475248,1.586447579,-3.700204692,-0.021230471,-1.430808152,-1.555364663,1.793855153,1.255967958,1.515842364,1.765036784,2.542841476,3.251453719,2.017638592,-4.387259842,10.67408538,8.700777449
liberia,-1.678597481,-1.001594885,-2.041897761,-26.66845456,-51.03086304,-14.22521176,-35.08568109,-32.9753915,-21.7623498,-4.266211604,12.12121212,106.2798092,29.69999538,22.90000275,25.69999883,22.09585315,31.89257459,-32.8321115,-5.109791656,9.481315987,9.779340349,15.68803967,10.53119282,13.76159475,10.9425022,9.131658925,10.23864203,11.30674508
guinea bissau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
guinea,NA,3.299938846,6.308116697,4.003476015,4.324062752,2.613423005,3.270947302,5.044144543,3.970099106,4.607673201,4.461575085,5.18160346,3.644121242,3.812004033,2.503060562,3.658346471,5.164609466,1.24860126,2.340117312,2.997272562,2.496728569,1.757682351,4.936932709,-0.280192286,1.936217423,3.90876145,3.944111989,2.299999238
